score,num_people,accumulate
698,113,113
697,23,136
696,12,148
695,21,169
694,17,186
693,15,201
692,27,228
691,28,256
690,21,277
689,26,303
688,37,340
687,45,385
686,34,419
685,42,461
684,42,503
683,48,551
682,38,589
681,50,639
680,46,685
679,57,742
678,65,807
677,54,861
676,50,911
675,63,974
674,55,1029
673,59,1088
672,69,1157
671,87,1244
670,84,1328
669,67,1395
668,79,1474
667,78,1552
666,78,1630
665,102,1732
664,68,1800
663,82,1882
662,79,1961
661,98,2059
660,94,2153
659,93,2246
658,85,2331
657,114,2445
656,95,2540
655,112,2652
654,115,2767
653,122,2889
652,110,2999
651,102,3101
650,102,3203
649,129,3332
648,129,3461
647,129,3590
646,122,3712
645,129,3841
644,135,3976
643,126,4102
642,143,4245
641,123,4368
640,149,4517
639,157,4674
638,160,4834
637,155,4989
636,150,5139
635,165,5304
634,137,5441
633,156,5597
632,152,5749
631,170,5919
630,168,6087
629,164,6251
628,148,6399
627,162,6561
626,179,6740
625,156,6896
624,168,7064
623,185,7249
622,191,7440
621,173,7613
620,191,7804
619,179,7983
618,175,8158
617,167,8325
616,201,8526
615,195,8721
614,202,8923
613,211,9134
612,193,9327
611,196,9523
610,191,9714
609,200,9914
608,197,10111
607,221,10332
606,206,10538
605,215,10753
604,226,10979
603,216,11195
602,231,11426
601,233,11659
600,224,11883
599,220,12103
598,215,12318
597,237,12555
596,222,12777
595,238,13015
594,205,13220
593,216,13436
592,214,13650
591,247,13897
590,205,14102
589,256,14358
588,230,14588
587,222,14810
586,274,15084
585,237,15321
584,226,15547
583,245,15792
582,227,16019
581,218,16237
580,233,16470
579,254,16724
578,280,17004
577,260,17264
576,242,17506
575,248,17754
574,216,17970
573,248,18218
572,247,18465
571,258,18723
570,232,18955
569,266,19221
568,267,19488
567,217,19705
566,244,19949
565,237,20186
564,279,20465
563,237,20702
562,251,20953
561,245,21198
560,225,21423
559,274,21697
558,260,21957
557,260,22217
556,262,22479
555,269,22748
554,254,23002
553,260,23262
552,269,23531
551,265,23796
550,293,24089
549,258,24347
548,264,24611
547,253,24864
546,273,25137
545,273,25410
544,268,25678
543,283,25961
542,283,26244
541,233,26477
540,241,26718
539,271,26989
538,263,27252
537,264,27516
536,280,27796
535,260,28056
534,273,28329
533,266,28595
532,291,28886
531,298,29184
530,291,29475
529,262,29737
528,272,30009
527,273,30282
526,264,30546
525,270,30816
524,310,31126
523,283,31409
522,247,31656
521,244,31900
520,278,32178
519,262,32440
518,235,32675
517,297,32972
516,268,33240
515,234,33474
514,269,33743
513,256,33999
512,273,34272
511,287,34559
510,312,34871
509,265,35136
508,268,35404
507,264,35668
506,285,35953
505,241,36194
504,258,36452
503,264,36716
502,272,36988
501,280,37268
500,285,37553
499,269,37822
498,260,38082
497,270,38352
496,269,38621
495,272,38893
494,251,39144
493,240,39384
492,263,39647
491,265,39912
490,255,40167
489,295,40462
488,278,40740
487,267,41007
486,270,41277
485,284,41561
484,238,41799
483,243,42042
482,251,42293
481,242,42535
480,247,42782
479,283,43065
478,255,43320
477,273,43593
476,259,43852
475,269,44121
474,255,44376
473,230,44606
472,236,44842
471,261,45103
470,235,45338
469,235,45573
468,259,45832
467,239,46071
466,226,46297
465,235,46532
464,234,46766
463,243,47009
462,275,47284
461,220,47504
460,250,47754
459,245,47999
458,220,48219
457,210,48429
456,212,48641
455,207,48848
454,269,49117
453,226,49343
452,215,49558
451,215,49773
450,236,50009
449,220,50229
448,219,50448
447,219,50667
446,225,50892
445,209,51101
444,211,51312
443,198,51510
442,193,51703
441,196,51899
440,173,52072
439,216,52288
438,207,52495
437,218,52713
436,182,52895
435,149,53044
434,216,53260
433,202,53462
432,174,53636
431,161,53797
430,197,53994
429,186,54180
428,147,54327
427,182,54509
426,164,54673
425,175,54848
424,180,55028
423,160,55188
422,149,55337
421,154,55491
420,136,55627
419,150,55777
418,163,55940
417,139,56079
416,146,56225
415,157,56382
414,130,56512
413,152,56664
412,122,56786
411,137,56923
410,148,57071
409,128,57199
408,144,57343
407,139,57482
406,130,57612
405,146,57758
404,145,57903
403,127,58030
402,124,58154
401,120,58274
400,131,58405
399,119,58524
398,132,58656
397,118,58774
396,136,58910
395,118,59028
394,97,59125
393,123,59248
392,102,59350
391,92,59442
390,109,59551
389,93,59644
388,111,59755
387,91,59846
386,92,59938
385,104,60042
384,102,60144
383,99,60243
382,80,60323
381,80,60403
380,82,60485
379,78,60564
378,78,60642
377,78,60720
376,78,60799
375,78,60878
374,78,60956
373,78,61034
372,78,61113
371,78,61192
370,78,61270
369,72,61342
368,72,61414
367,72,61486
366,72,61558
365,72,61630
364,72,61703
363,72,61775
362,72,61847
361,72,61919
360,72,61991
359,64,62054
358,64,62118
357,64,62181
356,64,62245
355,64,62308
354,64,62372
353,64,62435
352,64,62499
351,64,62562
350,64,62626
349,50,62676
348,50,62725
347,50,62775
346,50,62824
345,50,62874
344,50,62924
343,50,62973
342,50,63023
341,50,63072
340,50,63122
339,42,63164
338,42,63206
337,42,63249
336,42,63291
335,42,63333
334,42,63375
333,42,63417
332,42,63460
331,42,63502
330,42,63544
329,34,63578
328,34,63611
327,34,63645
326,34,63679
325,34,63712
324,34,63746
323,34,63780
322,34,63814
321,34,63847
320,34,63881
319,28,63909
318,28,63936
317,28,63964
316,28,63992
315,28,64019
314,28,64047
313,28,64075
312,28,64103
311,28,64130
310,28,64158
309,24,64182
308,24,64207
307,24,64231
306,24,64256
305,24,64280
304,24,64305
303,24,64329
302,24,64354
301,24,64378
300,24,64403
299,21,64424
298,21,64444
297,21,64465
296,21,64485
295,21,64506
294,21,64527
293,21,64547
292,21,64568
291,21,64588
290,21,64609
289,16,64624
288,16,64640
287,16,64655
286,16,64671
285,16,64686
284,16,64702
283,16,64717
282,16,64733
281,16,64748
280,16,64764
279,13,64777
278,13,64789
277,13,64802
276,13,64814
275,13,64827
274,13,64840
273,13,64852
272,13,64865
271,13,64877
270,13,64890
269,11,64901
268,11,64911
267,11,64922
266,11,64933
265,11,64943
264,11,64954
263,11,64965
262,11,64976
261,11,64986
260,11,64997
259,8,65005
258,8,65013
257,8,65021
256,8,65029
255,8,65037
254,8,65046
253,8,65054
252,8,65062
251,8,65070
250,8,65078
249,7,65085
248,7,65091
247,7,65098
246,7,65104
245,7,65111
244,7,65118
243,7,65124
242,7,65131
241,7,65137
240,7,65144
239,5,65149
238,5,65153
237,5,65158
236,5,65162
235,5,65167
234,5,65172
233,5,65176
232,5,65181
231,5,65185
230,5,65190
229,4,65193
228,4,65197
227,4,65200
226,4,65204
225,4,65207
224,4,65211
223,4,65214
222,4,65218
221,4,65221
220,4,65225
219,3,65228
218,3,65231
217,3,65234
216,3,65237
215,3,65240
214,3,65243
213,3,65246
212,3,65249
211,3,65252
210,3,65255
209,2,65257
208,2,65259
207,2,65261
206,2,65263
205,2,65264
204,2,65266
203,2,65268
202,2,65270
201,2,65272
200,2,65274
