score,num_people,accumulate
673,11,11
672,1,12
671,4,16
670,1,17
669,6,23
668,1,24
667,3,27
666,2,29
665,2,31
664,6,37
663,2,39
662,7,46
661,1,47
660,6,53
659,3,56
658,3,59
657,6,65
656,15,80
655,7,87
654,10,97
653,6,103
652,12,115
651,9,124
650,13,137
649,12,149
648,9,158
647,10,168
646,9,177
645,14,191
644,8,199
643,12,211
642,10,221
641,13,234
640,7,241
639,8,249
638,10,259
637,14,273
636,14,287
635,14,301
634,15,316
633,19,335
632,13,348
631,19,367
630,26,393
629,17,410
628,24,434
627,25,459
626,21,480
625,24,504
624,14,518
623,24,542
622,23,565
621,18,583
620,18,601
619,26,627
618,30,657
617,19,676
616,28,704
615,18,722
614,32,754
613,29,783
612,30,813
611,35,848
610,27,875
609,31,906
608,22,928
607,32,960
606,33,993
605,28,1021
604,27,1048
603,20,1068
602,33,1101
601,43,1144
600,31,1175
599,38,1213
598,36,1249
597,32,1281
596,31,1312
595,31,1343
594,43,1386
593,36,1422
592,27,1449
591,44,1493
590,42,1535
589,44,1579
588,41,1620
587,32,1652
586,65,1717
585,52,1769
584,47,1816
583,33,1849
582,56,1905
581,59,1964
580,54,2018
579,41,2059
578,39,2098
577,62,2160
576,42,2202
575,49,2251
574,56,2307
573,49,2356
572,62,2418
571,45,2463
570,59,2522
569,67,2589
568,58,2647
567,61,2708
566,52,2760
565,70,2830
564,64,2894
563,65,2959
562,66,3025
561,67,3092
560,73,3165
559,64,3229
558,64,3293
557,66,3359
556,80,3439
555,65,3504
554,69,3573
553,61,3634
552,65,3699
551,66,3765
550,68,3833
549,63,3896
548,73,3969
547,74,4043
546,67,4110
545,85,4195
544,67,4262
543,75,4337
542,70,4407
541,82,4489
540,88,4577
539,97,4674
538,80,4754
537,100,4854
536,91,4945
535,84,5029
534,86,5115
533,79,5194
532,74,5268
531,69,5337
530,99,5436
529,68,5504
528,77,5581
527,68,5649
526,83,5732
525,69,5801
524,82,5883
523,87,5970
522,98,6068
521,78,6146
520,82,6228
519,105,6333
518,86,6419
517,87,6506
516,95,6601
515,96,6697
514,76,6773
513,93,6866
512,88,6954
511,103,7057
510,87,7144
509,84,7228
508,87,7315
507,93,7408
506,96,7504
505,105,7609
504,87,7696
503,101,7797
502,102,7899
501,98,7997
500,96,8093
499,93,8186
498,107,8293
497,107,8400
496,115,8515
495,91,8606
494,115,8721
493,108,8829
492,118,8947
491,99,9046
490,91,9137
489,131,9268
488,125,9393
487,111,9504
486,118,9622
485,107,9729
484,113,9842
483,96,9938
482,108,10046
481,123,10169
480,117,10286
479,109,10395
478,120,10515
477,109,10624
476,102,10726
475,112,10838
474,116,10954
473,131,11085
472,148,11233
471,120,11353
470,140,11493
469,121,11614
468,129,11743
467,137,11880
466,135,12015
465,115,12130
464,112,12242
463,113,12355
462,102,12457
461,111,12568
460,110,12678
459,113,12791
458,126,12917
457,114,13031
456,147,13178
455,146,13324
454,99,13423
453,107,13530
452,116,13646
451,132,13778
450,121,13899
449,147,14046
448,112,14158
447,147,14305
446,114,14419
445,118,14537
444,105,14642
443,115,14757
442,130,14887
441,133,15020
440,136,15156
439,119,15275
438,123,15398
437,128,15526
436,109,15635
435,105,15740
434,125,15865
433,117,15982
432,134,16116
431,125,16241
430,110,16351
429,92,16443
428,165,16608
427,108,16716
426,122,16838
425,108,16946
424,130,17076
423,113,17189
422,118,17307
421,115,17422
420,126,17548
419,113,17661
418,124,17785
417,122,17907
416,112,18019
415,111,18130
414,127,18257
413,116,18373
412,138,18511
411,125,18636
410,115,18751
409,107,18858
408,133,18991
407,129,19120
406,120,19240
405,106,19346
404,110,19456
403,128,19584
402,110,19694
401,113,19807
400,122,19929
399,97,20026
398,97,20123
397,112,20235
396,105,20340
395,111,20451
394,100,20551
393,101,20652
392,113,20765
391,106,20871
390,100,20971
389,95,21066
388,113,21179
387,119,21298
386,110,21408
385,105,21513
384,105,21618
383,105,21723
382,110,21833
381,92,21925
380,116,22041
379,98,22139
378,102,22241
377,82,22323
376,80,22403
375,98,22501
374,91,22592
373,95,22687
372,112,22799
371,87,22886
370,104,22990
369,85,23075
368,85,23160
367,79,23239
366,87,23326
365,95,23421
364,108,23529
363,98,23627
362,83,23710
361,82,23792
360,87,23879
359,80,23959
358,86,24045
357,78,24123
356,82,24205
355,71,24276
354,83,24359
353,83,24442
352,97,24539
351,73,24612
350,89,24701
349,73,24774
348,89,24863
347,76,24939
346,76,25015
345,65,25080
344,68,25148
343,65,25213
342,70,25283
341,64,25347
340,78,25425
339,73,25498
338,67,25565
337,65,25630
336,71,25701
335,61,25762
334,77,25839
333,75,25914
332,64,25978
331,65,26043
330,74,26117
329,53,26170
328,72,26242
327,63,26305
326,62,26367
325,66,26433
324,59,26492
323,57,26549
322,55,26604
321,64,26668
320,65,26733
319,63,26796
318,71,26867
317,54,26921
316,41,26962
315,52,27014
314,55,27069
313,54,27123
312,51,27174
311,54,27228
310,47,27275
309,58,27333
308,46,27379
307,38,27417
306,51,27468
305,30,27498
304,40,27538
303,45,27583
302,47,27630
301,40,27670
300,36,27706
299,37,27743
298,48,27791
297,38,27829
296,40,27869
295,32,27901
294,45,27946
293,45,27991
294,30,28021
292,20,28041
291,35,28076
290,35,28111
289,33,28144
288,38,28182
287,32,28214
286,29,28243
285,32,28275
284,29,28304
283,22,28326
282,21,28347
281,34,28381
280,29,28410
279,29,28439
278,25,28464
277,23,28487
276,21,28508
275,30,28538
274,18,28556
273,25,28581
272,18,28599
271,20,28619
270,18,28637
269,30,28667
268,17,28684
267,16,28700
266,24,28724
265,16,28740
264,18,28758
263,26,28784
262,18,28802
261,22,28824
260,26,28850
259,11,28861
258,18,28879
257,12,28891
256,25,28916
255,15,28931
254,23,28954
253,17,28971
252,20,28991
251,14,29005
250,16,29021
249,18,29039
248,19,29058
247,16,29074
246,13,29087
245,10,29097
244,13,29110
243,6,29116
242,8,29124
241,11,29135
240,11,29146
239,17,29163
238,10,29173
237,13,29186
236,3,29189
235,9,29198
234,11,29209
233,10,29219
232,8,29227
231,7,29234
230,12,29246
229,14,29260
228,5,29265
227,9,29274
226,9,29283
225,11,29294
224,12,29306
223,6,29312
222,8,29320
221,9,29329
220,10,29339
219,6,29345
218,4,29349
217,4,29353
216,10,29363
215,4,29367
214,5,29372
213,8,29380
212,5,29385
211,7,29392
210,6,29398
209,5,29403
208,6,29409
207,2,29411
206,3,29414
205,4,29418
204,4,29422
203,8,29430
202,3,29433
201,3,29436
200,2,29438
199,6,29444
198,3,29447
197,6,29453
196,5,29458
195,3,29461
194,3,29464
193,3,29467
192,7,29474
191,2,29476
190,3,29479
189,2,29481
188,3,29484
187,3,29487
186,4,29491
185,3,29494
184,1,29495
183,3,29498
182,5,29503
181,2,29505
180,7,29512
179,5,29517
178,1,29518
177,2,29520
176,1,29521
175,1,29522
174,1,29523
173,1,29524
172,0,29524
171,2,29526
170,1,29527
169,1,29528
168,3,29531
167,0,29531
166,2,29533
165,4,29537
164,0,29537
163,1,29538
162,1,29539
161,3,29542
160,1,29543
159,0,29543
158,0,29543
157,2,29545
156,1,29546
155,3,29549
154,1,29550
153,0,29550
152,2,29552
151,0,29552
150,0,29552
149,0,29552
148,1,29553
147,0,29553
146,1,29554
145,2,29556
144,2,29558
143,2,29560
142,1,29561
141,1,29562
140,1,29563
139,3,29566
138,0,29566
137,1,29567
136,0,29567
135,1,29568
134,1,29569
133,1,29570
132,1,29571
131,1,29572
130,0,29572
129,1,29573
128,1,29574
127,0,29574
126,0,29574
125,0,29574
124,1,29575
123,0,29575
122,2,29577
121,0,29577
120,2,29579
119,0,29579
118,0,29579
117,0,29579
116,0,29579
115,3,29582
114,0,29582
113,0,29582
112,0,29582
111,1,29583
110,0,29583
109,1,29584
108,0,29584
107,0,29584
106,0,29584
105,0,29584
104,1,29585
103,0,29585
102,0,29585
101,0,29585
100,0,29585
99,0,29585
98,0,29585
97,0,29585
96,0,29585
95,0,29585
94,0,29585
93,1,29586
92,0,29586
91,0,29586
90,0,29586
89,1,29587
88,0,29587
87,0,29587
86,0,29587
85,0,29587
84,1,29588
83,0,29588
82,0,29588
81,0,29588
80,0,29588
79,1,29589
78,1,29590
77,0,29590
76,0,29590
75,2,29592
74,1,29593
73,0,29593
72,1,29594
71,1,29595
70,0,29595
69,2,29597
68,1,29598
67,1,29599
66,1,29600
65,0,29600
64,2,29602
63,0,29602
62,0,29602
61,0,29602
60,0,29602
59,1,29603
58,4,29607
57,0,29607
56,1,29608
55,0,29608
54,1,29609
53,0,29609
52,0,29609
51,2,29611
50,1,29612
49,0,29612
48,0,29612
47,1,29613
46,0,29613
45,1,29614
44,1,29615
43,0,29615
42,1,29616
41,0,29616
40,1,29617
39,0,29617
38,0,29617
37,2,29619
36,0,29619
35,0,29619
34,0,29619
33,0,29619
32,1,29620
31,0,29620
30,0,29620
29,0,29620
28,0,29620
27,1,29621
26,1,29622
25,0,29622
24,0,29622
23,1,29623
22,2,29625
21,1,29626
20,0,29626
19,0,29626
18,0,29626
17,0,29626
16,0,29626
15,0,29626
14,0,29626
13,1,29627
12,1,29628
11,2,29630
10,1,29631
9,2,29633
8,2,29635
7,0,29635
6,0,29635
5,1,29636
4,1,29637
3,0,29637
2,1,29638
1,1,29639
0,1432,31071
