score,num_people,accumulate
680,56,56
679,68,124
678,67,191
677,72,263
676,60,323
675,47,370
674,63,433
673,61,494
672,59,553
671,81,634
670,69,703
669,76,779
668,77,856
667,94,950
666,97,1047
665,90,1137
664,93,1230
663,95,1325
662,104,1429
661,110,1539
660,114,1653
659,106,1759
658,106,1865
657,105,1970
656,128,2098
655,88,2186
654,130,2316
653,125,2441
652,140,2581
651,109,2690
650,134,2824
649,139,2963
648,134,3097
647,168,3265
646,132,3397
645,140,3537
644,152,3689
643,164,3853
642,160,4013
641,166,4179
640,151,4330
639,152,4482
638,144,4626
637,155,4781
636,156,4937
635,154,5091
634,170,5261
633,164,5425
632,184,5609
631,168,5777
630,189,5966
629,208,6174
628,178,6352
627,211,6563
626,193,6756
625,177,6933
624,194,7127
623,194,7321
622,222,7543
621,198,7741
620,193,7934
619,213,8147
618,218,8365
617,202,8567
616,214,8781
615,212,8993
614,200,9193
613,218,9411
612,242,9653
611,211,9864
610,219,10083
609,210,10293
608,214,10507
607,239,10746
606,244,10990
605,205,11195
604,253,11448
603,249,11697
602,215,11912
601,228,12140
600,227,12367
599,233,12600
598,213,12813
597,246,13059
596,247,13306
595,229,13535
594,245,13780
593,238,14018
592,263,14281
591,243,14524
590,228,14752
589,230,14982
588,222,15204
587,251,15455
586,253,15708
585,217,15925
584,258,16183
583,269,16452
582,242,16694
581,247,16941
580,234,17175
579,249,17424
578,235,17659
577,280,17939
576,261,18200
575,262,18462
574,272,18734
573,269,19003
572,254,19257
571,279,19536
570,279,19815
569,275,20090
568,252,20342
567,300,20642
566,260,20902
565,254,21156
564,278,21434
563,250,21684
562,265,21949
561,262,22211
560,274,22485
559,291,22776
558,260,23036
557,286,23322
556,289,23611
555,236,23847
554,285,24132
553,268,24400
552,299,24699
551,270,24969
550,287,25256
549,273,25529
548,309,25838
547,262,26100
546,248,26348
545,265,26613
544,301,26914
543,246,27160
542,284,27444
541,293,27737
540,276,28013
539,234,28247
538,282,28529
537,285,28814
536,295,29109
535,302,29411
534,303,29714
533,298,30012
532,298,30310
531,303,30613
530,268,30881
529,280,31161
528,285,31446
527,278,31724
526,287,32011
525,292,32303
524,299,32602
523,289,32891
522,264,33155
521,301,33456
520,320,33776
519,276,34052
518,242,34294
517,310,34604
516,303,34907
515,314,35221
514,268,35489
513,302,35791
512,302,36093
511,296,36389
510,303,36692
509,314,37006
508,280,37286
507,283,37569
506,272,37841
505,316,38157
504,301,38458
503,303,38761
502,276,39037
501,298,39335
500,280,39615
499,301,39916
498,273,40189
497,311,40500
496,294,40794
495,296,41090
494,268,41358
493,292,41650
492,281,41931
491,302,42233
490,307,42540
489,283,42823
488,307,43130
487,306,43436
486,267,43703
485,292,43995
484,285,44280
483,285,44565
482,289,44854
481,303,45157
480,260,45417
479,296,45713
478,282,45995
477,277,46272
476,283,46555
475,268,46823
474,288,47111
473,256,47367
472,271,47638
471,279,47917
470,262,48179
469,235,48414
468,271,48685
467,261,48946
466,260,49206
465,271,49477
464,262,49739
463,235,49974
462,267,50241
461,267,50508
460,244,50752
459,232,50984
458,267,51251
457,267,51518
456,258,51776
455,245,52021
454,256,52277
453,266,52543
452,267,52810
451,264,53074
450,251,53325
449,213,53538
448,265,53803
447,236,54039
446,235,54274
445,227,54501
444,252,54753
443,238,54991
442,249,55240
441,232,55472
440,244,55716
439,200,55916
438,169,56085
437,237,56322
436,233,56555
435,236,56791
434,237,57028
433,206,57234
432,225,57459
431,205,57664
430,217,57881
429,218,58099
428,216,58315
427,245,58560
426,207,58767
425,212,58979
424,203,59182
423,178,59360
422,193,59553
421,204,59757
420,206,59963
419,166,60129
418,205,60334
417,177,60511
416,182,60693
415,191,60884
414,204,61088
413,191,61279
412,221,61500
411,167,61667
410,178,61845
409,173,62018
408,169,62187
407,160,62347
406,175,62522
405,168,62690
404,161,62851
403,154,63005
402,137,63142
401,169,63311
400,147,63458
399,171,63629
398,137,63766
397,157,63923
396,125,64048
395,156,64204
394,126,64330
393,164,64494
392,126,64620
391,131,64751
390,145,64896
389,139,65035
388,151,65186
387,163,65349
386,127,65476
385,120,65596
384,130,65726
383,139,65865
382,121,65986
381,101,66087
380,135,66222
379,129,66351
378,122,66473
377,103,66576
376,103,66679
375,129,66808
374,121,66929
373,104,67033
372,117,67150
371,86,67236
370,98,67334
369,82,67416
368,103,67519
367,96,67615
366,101,67716
365,88,67804
364,95,67899
363,94,67993
362,81,68074
361,82,68156
360,88,68244
359,96,68340
358,82,68422
357,77,68499
356,83,68582
355,77,68659
354,63,68722
353,82,68804
352,76,68880
351,73,68953
350,58,69011
349,62,69073
348,66,69139
347,73,69212
346,63,69275
345,59,69334
344,59,69393
343,55,69448
342,50,69498
341,50,69548
340,57,69605
339,47,69652
338,54,69706
337,56,69762
336,63,69825
335,51,69876
334,50,69926
333,42,69968
332,52,70020
331,42,70062
330,46,70108
329,55,70163
328,44,70207
327,48,70255
326,58,70313
325,46,70359
324,39,70398
323,44,70442
322,35,70477
321,51,70528
320,38,70566
319,50,70616
318,37,70653
317,41,70694
316,40,70734
315,30,70764
314,34,70798
313,40,70838
312,40,70878
311,34,70912
310,45,70957
309,39,70996
308,30,71026
307,36,71062
306,34,71096
305,35,71131
304,36,71167
303,34,71201
302,31,71232
301,32,71264
300,35,71299
