score,num_people,accumulate
659,10,10
658,1,11
657,2,13
656,1,14
655,3,17
654,1,18
653,3,21
652,3,24
651,3,27
650,4,31
649,10,41
648,5,46
647,7,53
646,5,58
645,7,65
644,7,72
643,11,83
642,9,92
641,16,108
640,13,121
639,10,131
638,18,149
637,10,159
636,9,168
635,14,182
634,14,196
633,11,207
632,12,219
631,20,239
630,21,260
629,23,283
628,18,301
627,17,318
626,19,337
625,26,363
624,25,388
623,30,418
622,23,441
621,31,472
620,26,498
619,22,520
618,24,544
617,30,574
616,35,609
615,33,642
614,29,671
613,31,702
612,43,745
611,43,788
610,45,833
609,27,860
608,37,897
607,46,943
606,54,997
605,59,1056
604,54,1110
603,41,1151
602,58,1209
601,47,1256
600,42,1298
599,65,1363
598,64,1427
597,81,1508
596,60,1568
595,65,1633
594,53,1686
593,68,1754
592,72,1826
591,71,1897
590,79,1976
589,65,2041
588,68,2109
587,68,2177
586,74,2251
585,69,2320
584,81,2401
583,88,2489
582,74,2563
581,101,2664
580,105,2769
579,78,2847
578,82,2929
577,101,3030
576,87,3117
575,92,3209
574,91,3300
573,94,3394
572,110,3504
571,103,3607
570,107,3714
569,113,3827
568,127,3954
567,109,4063
566,115,4178
565,96,4274
564,116,4390
563,112,4502
562,131,4633
561,116,4749
560,135,4884
559,131,5015
558,113,5128
557,145,5273
556,131,5404
555,147,5551
554,150,5701
553,162,5863
552,149,6012
551,167,6179
550,139,6318
549,143,6461
548,162,6623
547,146,6769
546,168,6937
545,160,7097
544,149,7246
543,150,7396
542,147,7543
541,194,7737
540,179,7916
539,162,8078
538,170,8248
537,200,8448
536,178,8626
535,182,8808
534,189,8997
533,195,9192
532,201,9393
531,186,9579
530,202,9781
529,201,9982
528,234,10216
527,201,10417
526,203,10620
525,217,10837
524,216,11053
523,209,11262
522,216,11478
521,222,11700
520,218,11918
519,231,12149
518,197,12346
517,244,12590
516,229,12819
515,212,13031
514,245,13276
513,235,13511
512,223,13734
511,237,13971
510,239,14210
509,243,14453
508,249,14702
507,227,14929
506,223,15152
505,259,15411
504,268,15679
503,236,15915
502,281,16196
501,245,16441
500,298,16739
499,251,16990
498,266,17256
497,292,17548
496,232,17780
495,242,18022
494,268,18290
493,266,18556
492,261,18817
491,305,19122
490,261,19383
489,272,19655
488,254,19909
487,285,20194
486,314,20508
485,288,20796
484,265,21061
483,302,21363
482,286,21649
481,310,21959
480,298,22257
479,276,22533
478,296,22829
477,288,23117
476,337,23454
475,315,23769
474,356,24125
473,319,24444
472,330,24774
471,311,25085
470,342,25427
469,331,25758
468,317,26075
467,343,26418
466,367,26785
465,351,27136
464,346,27482
463,362,27844
462,352,28196
461,361,28557
460,324,28881
459,353,29234
458,391,29625
457,362,29987
456,346,30333
455,383,30716
454,392,31108
453,386,31494
452,394,31888
451,392,32280
450,392,32672
449,405,33077
448,404,33481
447,374,33855
446,388,34243
445,386,34629
444,399,35028
443,427,35455
442,401,35856
441,415,36271
440,406,36677
439,393,37070
438,404,37474
437,413,37887
436,390,38277
435,434,38711
434,398,39109
433,453,39562
432,424,39986
431,434,40420
430,424,40844
429,473,41317
428,414,41731
427,478,42209
426,421,42630
425,455,43085
424,454,43539
423,497,44036
422,453,44489
421,434,44923
420,456,45379
419,446,45825
418,445,46270
417,455,46725
416,448,47173
