score,num_people,accumulate
687,2,15
686,4,19
684,2,21
683,5,26
682,3,29
681,3,32
680,3,35
679,3,38
678,4,42
677,3,45
676,2,47
675,7,54
674,5,59
673,4,63
672,9,72
671,12,84
670,9,93
669,8,101
668,14,115
667,16,131
666,11,142
665,11,153
664,8,161
663,10,171
662,11,182
661,17,199
660,21,220
659,16,236
658,22,258
657,22,280
656,26,306
655,21,327
654,30,357
653,34,391
652,36,427
651,25,452
650,41,493
649,49,542
648,42,584
647,38,622
646,37,659
645,49,708
644,48,756
643,60,816
642,41,857
641,61,918
640,67,985
639,61,1046
638,59,1105
637,62,1167
636,66,1233
635,76,1309
634,75,1384
633,73,1457
632,76,1533
631,101,1634
630,85,1719
629,101,1820
628,112,1932
627,97,2029
626,107,2136
625,110,2246
624,126,2372
623,113,2485
622,111,2596
621,113,2709
620,130,2839
619,142,2981
618,129,3110
617,133,3243
616,143,3386
615,145,3531
614,152,3683
613,175,3858
612,172,4030
611,182,4212
610,166,4378
609,198,4576
608,219,4795
607,196,4991
606,185,5176
605,198,5374
604,202,5576
603,198,5774
602,242,6016
601,219,6235
600,238,6473
599,239,6712
598,256,6968
597,229,7197
596,230,7427
595,265,7692
594,264,7956
593,243,8199
592,284,8483
591,279,8762
590,291,9053
589,306,9359
588,307,9666
587,301,9967
586,311,10278
585,335,10613
584,324,10937
583,314,11251
582,328,11579
581,335,11914
580,357,12271
579,360,12631
578,359,12990
577,352,13342
576,400,13742
575,379,14121
574,344,14465
573,345,14810
572,362,15172
571,405,15577
570,416,15993
569,409,16402
568,417,16819
567,400,17219
566,436,17655
565,451,18106
564,411,18517
563,416,18933
562,455,19388
561,427,19815
560,432,20247
559,442,20689
558,476,21165
557,457,21622
556,474,22096
555,464,22560
554,441,23001
553,485,23486
552,539,24025
551,532,24557
550,497,25054
549,502,25556
548,525,26081
547,496,26577
546,525,27102
545,513,27615
544,582,28197
543,554,28751
542,559,29310
541,506,29816
540,580,30396
539,556,30952
538,528,31480
537,583,32063
536,608,32671
535,538,33209
534,563,33772
533,631,34403
532,581,34984
531,570,35554
530,575,36129
529,614,36743
528,628,37371
527,616,37987
526,585,38572
525,652,39224
524,613,39837
523,638,40475
522,643,41118
521,612,41730
520,697,42427
519,641,43068
518,691,43759
517,591,44350
