score,num_people,accumulate
672,35,35
671,8,43
670,7,50
669,9,59
668,12,71
667,5,76
666,10,86
665,10,96
664,19,115
663,14,129
662,11,140
661,7,147
660,20,167
659,14,181
658,17,198
657,19,217
656,20,237
655,29,266
654,23,289
653,20,309
652,36,345
651,33,378
650,31,409
649,26,435
648,40,475
647,37,512
646,43,555
645,39,594
644,45,639
643,40,679
642,43,722
641,57,779
640,54,833
639,43,876
638,55,931
637,74,1005
636,70,1075
635,50,1125
634,75,1200
633,62,1262
632,87,1349
631,98,1447
630,76,1523
629,88,1611
628,86,1697
627,92,1789
626,95,1884
625,92,1976
624,95,2071
623,110,2181
622,114,2295
621,115,2410
620,118,2528
619,123,2651
618,126,2777
617,129,2906
616,145,3051
615,164,3215
614,148,3363
613,158,3521
612,139,3660
611,176,3836
610,172,4008
609,162,4170
608,180,4350
607,208,4558
606,187,4745
605,197,4942
604,181,5123
603,215,5338
602,208,5546
601,213,5759
600,245,6004
599,237,6241
598,204,6445
597,256,6701
596,279,6980
595,248,7228
594,225,7453
593,243,7696
592,254,7950
591,240,8190
590,261,8451
589,295,8746
588,287,9033
587,266,9299
586,274,9573
585,282,9855
584,273,10128
583,319,10447
582,281,10728
581,295,11023
580,261,11284
579,308,11592
578,313,11905
577,359,12264
576,337,12601
575,334,12935
574,334,13269
573,331,13600
572,353,13953
571,331,14284
570,355,14639
569,351,14990
568,343,15333
567,373,15706
566,394,16100
565,382,16482
564,328,16810
563,426,17236
562,393,17629
561,369,17998
560,390,18388
559,375,18763
558,439,19202
557,405,19607
556,372,19979
555,422,20401
554,435,20836
553,407,21243
552,425,21668
551,427,22095
550,487,22582
549,458,23040
548,471,23511
547,472,23983
546,502,24485
545,458,24943
544,484,25427
543,482,25909
542,450,26359
541,413,26772
540,508,27280
539,489,27769
538,454,28223
537,487,28710
536,532,29242
535,496,29738
534,505,30243
533,557,30800
532,523,31323
531,523,31846
530,563,32409
529,518,32927
528,507,33434
527,520,33954
526,529,34483
525,569,35052
524,549,35601
523,526,36127
522,557,36684
521,573,37257
520,554,37811
519,577,38388
518,570,38958
517,547,39505
516,571,40076
515,586,40662
514,613,41275
513,553,41828
512,593,42421
511,627,43048
510,625,43673
509,566,44239
508,638,44877
507,561,45438
506,644,46082
505,629,46711
504,589,47300
503,601,47901
502,610,48511
501,638,49149
