score,num_people,accumulate
693,32,32
692,6,38
691,8,46
690,11,57
689,11,68
688,14,82
687,17,99
686,22,121
685,25,146
684,13,159
683,22,181
682,25,206
681,27,233
680,34,267
679,30,297
678,33,330
677,31,361
676,34,395
675,48,443
674,58,501
673,49,550
672,72,622
671,59,681
670,52,733
669,55,788
668,80,868
667,82,950
666,63,1013
665,122,1135
664,101,1236
663,109,1345
662,102,1447
661,123,1570
660,118,1688
659,128,1816
658,128,1944
657,137,2081
656,143,2224
655,142,2366
654,139,2505
653,194,2699
652,215,2914
651,191,3105
650,189,3294
649,219,3513
648,241,3754
647,252,4006
646,246,4252
645,215,4467
644,257,4724
643,271,4995
642,273,5268
641,305,5573
640,273,5846
639,335,6181
638,322,6503
637,335,6838
636,348,7186
635,336,7522
634,357,7879
633,357,8236
632,386,8622
631,390,9012
630,424,9436
629,391,9827
628,444,10271
627,432,10703
626,445,11148
625,487,11635
624,456,12091
623,501,12592
622,485,13077
621,510,13587
620,511,14098
619,538,14636
618,535,15171
617,604,15775
616,564,16339
615,595,16934
614,587,17521
613,593,18114
612,606,18720
611,647,19367
610,642,20009
609,689,20698
608,656,21354
607,655,22009
606,686,22695
605,688,23383
604,717,24100
603,733,24833
602,741,25574
601,713,26287
600,786,27073
599,748,27821
598,776,28597
597,777,29374
596,820,30194
595,802,30996
594,811,31807
593,885,32692
592,847,33539
591,911,34450
590,834,35284
589,896,36180
588,943,37123
587,884,38007
586,936,38943
585,938,39881
584,1043,40924
583,997,41921
582,1002,42923
581,1006,43929
580,999,44928
579,1044,45972
578,1053,47025
577,1035,48060
576,1082,49142
575,1082,50224
574,1051,51275
573,1109,52384
572,1068,53452
571,1131,54583
570,1129,55712
569,1140,56852
568,1148,58000
567,1117,59117
566,1189,60306
565,1222,61528
564,1197,62725
563,1221,63946
562,1220,65166
561,1304,66470
560,1256,67726
559,1251,68977
558,1347,70324
557,1308,71632
556,1282,72914
555,1377,74291
554,1316,75607
553,1378,76985
552,1328,78313
551,1441,79754
550,1358,81112
549,1378,82490
548,1408,83898
547,1360,85258
546,1406,86664
545,1453,88117
544,1435,89552
543,1475,91027
542,1462,92489
541,1473,93962
540,1497,95459
539,1503,96962
538,1514,98476
537,1511,99987
536,1539,101526
535,1522,103048
534,1543,104591
533,1504,106095
532,1617,107712
531,1575,109287
530,1585,110872
529,1575,112447
528,1604,114051
527,1539,115590
526,1568,117158
525,1654,118812
524,1623,120435
523,1634,122069
522,1662,123731
521,1638,125369
520,1632,127001
519,1614,128615
518,1636,130251
517,1661,131912
516,1680,133592
515,1692,135284
514,1681,136965
513,1627,138592
512,1710,140302
511,1714,142016
510,1715,143731
509,1620,145351
508,1705,147056
507,1669,148725
506,1684,150409
505,1715,152124
504,1658,153782
503,1687,155469
502,1700,157169
501,1680,158849
500,1658,160507
499,1739,162246
498,1716,163962
497,1725,165687
496,1683,167370
495,1638,169008
494,1621,170629
493,1592,172221
492,1699,173920
491,1649,175569
490,1662,177231
489,1605,178836
488,1565,180401
487,1566,181967
486,1578,183545
485,1587,185132
484,1673,186805
483,1582,188387
482,1545,189932
