score,num_people,accumulate
668,33,33
667,4,37
666,2,39
665,2,41
664,7,48
663,2,50
662,2,52
661,8,60
660,8,68
659,9,77
658,10,87
657,8,95
656,11,106
655,9,115
654,17,132
653,9,141
652,13,154
651,16,170
650,22,192
649,17,209
648,15,224
647,18,242
646,7,249
645,19,268
644,19,287
643,19,306
642,20,326
641,20,346
640,26,372
639,19,391
638,32,423
637,31,454
636,22,476
635,34,510
634,17,527
633,27,554
632,33,587
631,28,615
630,40,655
629,25,680
628,36,716
627,34,750
626,41,791
625,38,829
624,33,862
623,51,913
622,35,948
621,29,977
620,42,1019
619,49,1068
618,47,1115
617,53,1168
616,52,1220
615,54,1274
614,64,1338
613,61,1399
612,44,1443
611,47,1490
610,64,1554
609,61,1615
608,74,1689
607,71,1760
606,61,1821
605,60,1881
604,54,1935
603,84,2019
602,72,2091
601,69,2160
600,78,2238
599,75,2313
598,92,2405
597,76,2481
596,75,2556
595,73,2629
594,72,2701
593,78,2779
592,99,2878
591,87,2965
590,99,3064
589,115,3179
588,81,3260
587,101,3361
586,97,3458
585,105,3563
584,116,3679
583,105,3784
582,102,3886
581,123,4009
580,116,4125
579,113,4238
578,127,4365
577,131,4496
576,91,4587
575,116,4703
574,119,4822
573,122,4944
572,138,5082
571,123,5205
570,143,5348
569,144,5492
568,148,5640
567,156,5796
566,166,5962
565,122,6084
564,145,6229
563,129,6358
562,149,6507
561,144,6651
560,172,6823
559,145,6968
558,188,7156
557,169,7325
556,160,7485
555,160,7645
554,142,7787
553,164,7951
552,165,8116
551,186,8302
550,169,8471
549,228,8699
548,178,8877
547,175,9052
546,186,9238
545,197,9435
544,207,9642
543,229,9871
542,210,10081
541,183,10264
540,219,10483
539,215,10698
538,206,10904
537,207,11111
536,243,11354
535,205,11559
534,240,11799
533,227,12026
532,246,12272
531,228,12500
530,268,12768
529,249,13017
528,249,13266
527,266,13532
526,261,13793
525,251,14044
524,265,14309
523,268,14577
522,273,14850
521,266,15116
520,276,15392
519,313,15705
518,285,15990
517,299,16289
516,273,16562
515,323,16885
514,288,17173
513,302,17475
512,289,17764
511,338,18102
510,329,18431
509,324,18755
508,335,19090
507,312,19402
506,323,19725
505,344,20069
504,344,20413
503,351,20764
502,365,21129
501,395,21524
500,368,21892
499,389,22281
498,352,22633
497,356,22989
496,363,23352
495,410,23762
494,404,24166
493,393,24559
492,428,24987
491,392,25379
490,394,25773
489,378,26151
488,384,26535
487,370,26905
486,385,27290
485,398,27688
484,391,28079
483,395,28474
482,405,28879
481,447,29326
480,409,29735
479,426,30161
478,401,30562
477,483,31045
476,454,31499
475,405,31904
474,432,32336
473,437,32773
472,436,33209
471,399,33608
470,431,34039
469,464,34503
468,430,34933
467,447,35380
466,433,35813
465,473,36286
464,420,36706
463,425,37131
462,469,37600
461,457,38057
460,416,38473
459,445,38918
458,413,39331
457,415,39746
456,412,40158
455,425,40583
454,438,41021
453,453,41474
452,424,41898
451,433,42331
450,438,42769
449,446,43215
448,419,43634
447,452,44086
446,440,44526
445,454,44980
444,421,45401
443,428,45829
442,466,46295
441,400,46695
440,425,47120
439,409,47529
438,458,47987
437,441,48428
436,433,48861
435,436,49297
434,462,49759
433,452,50211
432,448,50659
431,403,51062
430,416,51478
429,445,51923
428,430,52353
427,421,52774
426,429,53203
425,437,53640
424,413,54053
423,431,54484
422,419,54903
421,371,55274
420,421,55695
419,411,56106
418,432,56538
417,445,56983
416,378,57361
415,405,57766
414,429,58195
413,442,58637
412,398,59035
411,383,59418
410,391,59809
409,370,60179
408,404,60583
407,387,60970
406,409,61379
405,373,61752
404,386,62138
403,398,62536
402,404,62940
401,383,63323
400,387,63710
399,353,64063
398,369,64432
397,339,64771
396,344,65115
395,355,65470
394,367,65837
393,375,66212
392,346,66558
391,350,66908
390,390,67298
389,320,67618
388,352,67970
387,345,68315
386,318,68633
385,361,68994
384,327,69321
383,338,69659
382,313,69972
381,330,70302
380,321,70623
379,320,70943
378,311,71254
377,306,71560
376,319,71879
375,313,72192
374,320,72512
373,287,72799
372,307,73106
371,298,73404
370,287,73691
369,304,73995
368,231,74226
367,220,74446
366,267,74713
365,289,75002
364,251,75253
363,287,75540
362,264,75804
361,240,76044
360,260,76304
359,249,76553
358,249,76802
357,261,77063
356,245,77308
355,231,77539
354,237,77776
353,231,78007
352,206,78213
351,225,78438
350,199,78637
349,223,78860
348,232,79092
347,210,79302
346,186,79488
345,195,79683
344,213,79896
343,184,80080
342,207,80287
341,190,80477
340,179,80656
339,172,80828
338,177,81005
337,155,81160
336,155,81315
335,174,81489
334,172,81661
333,179,81840
332,122,81962
331,169,82131
330,149,82280
329,151,82431
328,150,82581
327,140,82721
326,142,82863
325,132,82995
324,123,83118
323,121,83239
322,143,83382
321,123,83505
320,115,83620
319,116,83736
318,107,83843
317,104,83947
316,104,84051
315,102,84153
314,113,84266
313,110,84376
312,98,84474
311,114,84588
310,105,84693
309,100,84793
308,115,84908
307,98,85006
306,102,85108
305,98,85206
304,82,85288
303,103,85391
302,85,85476
301,84,85560
300,71,85631
299,85,85716
298,76,85792
297,87,85879
296,55,85934
295,68,86002
294,65,86067
293,57,86124
292,71,86195
291,68,86263
290,53,86316
289,51,86367
288,65,86432
287,53,86485
286,65,86550
285,57,86607
284,59,86666
283,59,86725
282,42,86767
281,40,86807
280,47,86854
279,46,86900
278,44,86944
277,35,86979
276,37,87016
275,51,87067
274,43,87110
273,43,87153
272,34,87187
271,37,87224
270,36,87260
269,33,87293
268,46,87339
267,31,87370
266,42,87412
265,28,87440
264,36,87476
263,26,87502
262,16,87518
261,31,87549
260,26,87575
259,34,87609
258,31,87640
257,24,87664
256,27,87691
255,29,87720
254,24,87744
253,24,87768
252,22,87790
251,19,87809
250,17,87826
249,14,87840
248,16,87856
247,22,87878
246,16,87894
245,12,87906
244,13,87919
243,14,87933
242,25,87958
241,10,87968
240,20,87988
239,23,88011
238,16,88027
237,13,88040
236,9,88049
235,9,88058
234,12,88070
233,12,88082
232,18,88100
231,4,88104
230,9,88113
229,6,88119
228,11,88130
227,10,88140
226,6,88146
225,8,88154
224,7,88161
223,6,88167
222,4,88171
221,11,88182
220,5,88187
219,5,88192
218,5,88197
217,4,88201
216,4,88205
215,10,88215
214,4,88219
213,5,88224
212,4,88228
211,4,88232
210,4,88236
209,9,88245
208,4,88249
207,4,88253
206,5,88258
205,4,88262
204,1,88263
203,4,88267
202,4,88271
201,5,88276
200,2,88278
199,3,88281
198,6,88287
197,3,88290
196,1,88291
195,1,88292
193,1,88293
192,3,88296
191,4,88300
189,1,88301
188,1,88302
187,1,88303
186,3,88306
185,2,88308
184,6,88314
183,2,88316
182,1,88317
180,1,88318
178,4,88322
177,1,88323
176,3,88326
175,1,88327
174,3,88330
173,2,88332
171,1,88333
169,2,88335
167,2,88337
165,1,88338
164,1,88339
163,1,88340
162,2,88342
161,1,88343
160,2,88345
159,1,88346
158,4,88350
153,3,88353
152,2,88355
151,2,88357
149,1,88358
148,1,88359
147,1,88360
146,1,88361
144,1,88362
140,1,88363
138,1,88364
137,1,88365
136,2,88367
135,2,88369
130,2,88371
128,2,88373
123,1,88374
122,2,88376
120,2,88378
109,1,88379
108,2,88381
107,1,88382
106,1,88383
101,2,88385
97,3,88388
96,1,88389
92,1,88390
88,2,88392
87,1,88393
86,1,88394
75,2,88396
68,1,88397
66,2,88399
65,1,88400
64,2,88402
62,2,88404
59,1,88405
56,1,88406
55,1,88407
50,1,88408
47,2,88410
43,1,88411
40,1,88412
39,2,88414
37,2,88416
35,1,88417
34,7,88424
33,1,88425
32,5,88430
31,5,88435
30,11,88446
29,11,88457
28,10,88467
27,15,88482
26,18,88500
25,26,88526
24,19,88545
23,33,88578
22,27,88605
21,26,88631
20,46,88677
19,30,88707
18,43,88750
17,78,88828
16,32,88860
15,59,88919
14,71,88990
13,12,89002
12,60,89062
11,79,89141
10,4,89145
9,49,89194
8,22,89216
7,1,89217
6,13,89230
5,3,89233
3,5,89238
2,1,89239
0,769,90008
